2014/07/17,1406172,0.45,Apl,,,
2014/07/17,Schedule,0,,US,48,
2014/07/17,Safety Labels,0.45,Apl,,,
2014/07/17,1406172,0.52,Apl,,,
2014/07/18,1407083,1.42,Bol,,,
2014/07/18,1407087,0.58,Bol,,,
2014/07/18,1407087,2.83,Bol,,,
2014/07/18,1407087,1.58,Bol,,,
2014/07/18,1407054,0.42,Bol,,,
2014/07/18,1406131,1.42,Ben,,,
2014/07/18,1407048,0.58,Ben,,,
2014/07/18,1407048,1.17,Ben,,,
2014/07/18,1407054,1.13,Ben,,,
2014/07/18,1407015,0.53,Ben,,,
2014/07/18,1407015,2,Ben,,,
2014/07/18,1406124,2,Apl,,,
2014/07/18,1406124,2.83,Apl,,,
2014/07/18,1406124,2,Apl,,,
2014/07/18,Team Meeting,0.83,,TM,50,
2014/07/18,1407087,1.17,Cut,,,
2014/07/18,1407087,2.17,Cut,,,
2014/07/18,1407054,0.67,Cut,,,
2014/07/18,1407054,2,Cut,,,
2014/07/18,Stock,2,Sp,,,Stock
2014/07/18,Stock,2.42,Sp,,,Stock
2014/07/18,Stock,0.42,Sp,,,Stock
2014/07/18,Stock,2,Sp,,,Stock
2014/07/18,1407052,2,Riv,,,
2014/07/18,1407052,1.25,Riv,,,
2014/07/18,Stock,1.58,Cut,,,Stock
2014/07/18,Stock,0.5,Cut,,,Stock
2014/07/18,1406131,0.75,Pk,,,
2014/07/18,1407054,0.25,Pk,,,
2014/07/18,1407056,0.25,Pk,,,
2014/07/18,1407009,0.08,Pk,,,
2014/07/18,1407007,0.08,Pk,,,
2014/07/18,1407090,0.08,Pk,,,
2014/07/18,1407089,0.5,Pk,MH,15,Forklift
2014/07/18,1406124,2,Apl,CL,15,Tea
2014/07/18,1406124,2.83,Apl,CL,15,Tea
2014/07/18,1406124,2,Apl,,,
2014/07/18,Team Meeting,0.43,,TM,26,
2014/07/18,1406172,0.48,Apl,,,
2014/07/18,1407031,1.08,Apl,,,
2014/07/18,1407031,0.18,Apl,,,
2014/07/18,1407089,1.97,Apl,,,
2014/07/18,1407089,0.68,Pk,,,
2014/07/18,1407031,0.28,Apl,,,
2014/07/18,Team Meeting,1.35,,TM,81,3M
2014/07/18,1407031,0.37,Apl,,,
2014/07/21,1407011,1.25,Riv,,,
2014/07/21,1406080,0.33,Riv,,,
2014/07/21,1407002,0.42,Riv,,,
2014/07/21,1407002,2.83,Riv,,,
